Nimi,Hinta,Vahinko,Vahinkotyyppi,Paino,Ominaisuudet
Heittokeihäs,5 hr,1n6,pistovahinko,1kg,Heitettävä (kantama 12/48)
Keihäs,1 kr,1n/1n8,pistovahinko,1kg,"Heitettävä (kantama 8/24), yhden tai kahden käden ase"
Kirves,5 kr,1n6,viiltovahinko,1kg,"Kevyt ase, heitettävä (kantama 8/24)"
Nuija,1 hr,1n4,murskausvahinko,1kg,Kevyt ase
Rautanuija,5kr,1n6,murskausvahinko,2kg,-
Sauva,2ht,1n6/1n8,murskausvahinko,2kg,"Yhden tai kahden käden ase"
Sirppi,1hr,1n4,viiltovahinko,1kg,Kevyt ase
Suurnuija,2hr,1n8,murskausvahinko,5kg,Kahden käden ase
Tikari,2kr,1n4,pistovahinko,1kg,"Tarkkuus, kevyt ase, heitettävä (kantama 8/24)"
Vasara,2kr,1n4,murskausvahinko,1kg,"Kevyt ase, heitettävä (kantama 8/24)"
