nimi,loitsunPiiri,loitsunKoulukunta,loitsimisviive,kantama,komponentit,kesto,kuvaus
Druidintaito,Taikakonsti, Muovaaminen,1 toiminto,12 metriä,"taikasana,ele",välitön,"Kuiskaillen luonnon hengille luot jonkin seuraavista vaikutuksista loitsun kantamalla. Voit luoda pienen harmittoman aisteilla havaittavan vaikutuksen, joka ennustaa, millainen sää on sijainnissasi seuraavan 24 tunnin aikana. Aurinkoinen ja selkeä sää voi näyttäytyä kultaisena hehkuvana ilmassa kelluvana pallona joka muistuttaa auringosta, pikkiriikkisenä sadepilvenä tms. Tämä vaikutus kestää yhden kierroksen. Voit käyttää druidintaidon vaikutuksen myös siihen, että saat nupun välittömästi puhkeamaan kukkaan, siemenkodan paukahtamaan tai lehden kasvamaan. Voit myös luoda välittömän ja vaarattoman aistihavainnon, joka voi olla putoavia lehtiä, kevyt tuulenvire, jonkin pienen eläimen äännähdys tai hyvin heikko haisunäädän haju. Vaikutuksen täytyy mahtua 2x2x2 metrin kokoisen kuution sisälle. Druidintaidolla voi myös välittömästi sytyttää tai sammuttaa kynttilän, soihdun tai pienen leirinuotion."
Happoroiske,Taikakonsti, Kutsuminen,1 toiminto,24 metriä,"taikasana,ele",välitön,"Heität hapon täyttämän kuplan. Valitse loitsun kantamalla oleva kohde tai kaksi kohdetta, jotka ovat korkeintaan kahden metrin päässä toisistaan. Kohteen tai kohteiden täytyy onnistua ketteryyspelastusheitossa tai kärsiä 1n6 happovahinkoa. Loitsun vaurio kasvaa 1n6 viidennellä tasolla (2n6), tasolla 11 (3n6) ja tasolla 17 (4n6)."
Jäädytyssäde,Taikakonsti, Luominen,1 toiminto,24 metriä,"taikasana,ele",välitön,"Hyytävä sinivalkoinen valo kohdistuu valitsemaasi olentoon loitsun kantamalla. Tee kantamahyökkäys loitsulla. Osuessasi kohde kärsii 1n8 kylmävahinkoa ja kohteen nopeus laskee neljällä metrillä seuraavan vuorosi alkuun saakka. Loitsun vaurio kasvaa 1n8 viidennellä tasolla (2n8), tasolla 11 (3n8) ja tasolla 17 (4n8)."
Julma iva,Taikakonsti, Luominen,1 toiminto,24 metriä,"taikasana",välitön,"Lauot sarjan loukkauksia ilmoille, joita on tehostettu maagisesti erityisen pistäviksi ja kirveleviksi. Kohteesi voi olla mikä tahansa olento loitsun kantamalla. Kohteen täytyy kyetä kuulemaan sadattelusi (tosin kohteen ei välttämättä tarvitse ymmärtää kieltäsi). Kohteen täytyy onnistua viisauspelastusheitossa tai se kärsii 1n4 hengenvahinkoa. Tämän lisäksi hänellä on haitta seuraavaan hyökkäysheittoonsa ennen seuraavan vuoronsa alkua. Loitsun vaurio kasvaa 1n4 viidennellä tasolla (2n4), tasolla 11 (3n4) ja tasolla 17 (4n4)."
Kunnostaminen,Taikakonsti, muovaaminen,1 minuutti,kosketus,"taikasana, ele, aines (kaksi magneettista kiveä)",välitön,"Tämä loitsu paikkaa yhden halkeaman tai repeämän esineessä, jota kosketat. Voit korjata esimerkiksi murtuneen ketjun lenkin, kahteen osaan murtuneen avaimen, revenneen viitan tai vuotavan vesileilin. Halkeaman tai repeämän ollessa korkeintaan 30-senttinen ei kunnostamisen käyttäminen jätä jälkeäkään. Tällä loitsulla voidaan korjata maaginen esine tai rakennelma. Sillä ei voida kuitenkaan tuoda takaisin menetettyjä maagisia ominaisuuksia."
Kylmänkosketus,Taikakonsti, kuolontaikuus,1 toiminto,48 metriä,"taikasana, ele",1 kierros,"Luot aavemaisen luurankokäden samaan tilaan loitsun kantamalla olevan olennon kanssa. Tee kantamahyökkäys hyökätäksesi olentoa vastaan haudan kylmyydellä. Osumalla kohde kärsii 1n8 kuolonvahinkoa eikä voi saada osumapisteitään takaisin ennen sinun seuraavaa vuoroasi. Aina siihen saakka luurankokäsi pitää otteensa kohteessa.Epäkuolleella loitsun kohteella on haitta hyökkäysheittoihin sinua kohtaan. Loitsun vaurio kasvaa 1n8 tasolla 5 (2n8), tasolla 11 (3n8) ja tasolla 17 (4n8)."
Luo liekkejä,Taikakonsti, kutsuminen,1 toiminto,itse,"taikasana, ele",10 minuuttia,"Käteesi ilmestyy lepattava liekki. Liekki pysyy kädessäsi koko loitsun keston eikä vahingoita sinua tai kantamiasi varusteita. Liekki valaisee kirkkaasti neljän metrin päähän ja himmeästi vielä seuraavat nejä metriä. Loitsu päättyy ja liekki sammuu, jos päätät sen toimintona tai loitsit sen uudestaan. Liekin voi myös toimintona heittää 12 metrin päähän, jolloin sinun pitää tehdä kantamahyökkäys loitsulla. Osumalla kohde kärsii 1n8 tulivahinkoa. Loitsun vaurio kasvaa 1n8 viidennellä tasolla (2n8), tasolla 11 (3n8) ja tasolla 17 (4n8)."
Myrkkysuihku,Taikakonsti, kutsuminen,1 toiminto,4 metriä,"taikasana, ele",välitön,"Ojennat kätesi kohti valitsemaasi loitsun kantamalla olevaa olentoa, johon sinulla on näköyhteys. Myrkyllistä kaasua pöllähtää kämmenestäsi kohti olentoa. Kohteen täytyy onnistua sitkeys-pelastusheitossa tai kärsiä 1n12 myrkkyvahinkoa. Loitsun vaurio kasvaa 1n12 viidennellä tasolla (2n12), tasolla 11 (3n12) ja tasolla 17 (4n12)."
Opastus,Taikakonsti, ennustaminen,1 toiminto,kosketus,"taikasana, ele","Keskittyminen, korkeintaan minuutti","Kosketat yhtä suostuvaista olentoa. Ennen loitsun vaikutuksen loppumista kohde voi lisätä 1n4 valitsemaansa ominaisuusheittoon. Kohde voi heittää nopan ennen tai jälkeen ominaisuusheittoa, jolloin loitsun vaikutus päättyy."
Puunuija,Taikakonsti, muovaaminen,1 bonustoiminto,kosketus,"taikasana, ele, aines (mistelinoksa, kolmiapila ja nuija tai sauva)",1 minuutti,"Luonnon voima virtaa pitelemääsi nuijaan tai sauvaan. Loitsun keston ajan käytät hyökkäysheittoihin ja vaurioon loitsimisominaisuuttasi voimakkuuden sijaan hyökätessäsi tällä nuijalla tai sauvalla. Tämän lisäksi aseesi tekee 1n8 murskausvahinkoa. Aseesi on myös maaginen loitsun keston ajan."
Pyhä liekki,Taikakonsti, luominen,1 toiminto,24 metriä,"taikasana, ele",välitön,"Liekkien tavoin lepattava hohde ympäröi loitsun kantamalla olevan valitsemasi olennon, johon sinulla näköyhteys. Olennon täytyy onnistua ketteryyspelastusheitossa tai se kärsii 1n8 hohkavahinkoa. Suojasta ei ole hyötyä tähän pelastusheittoon. Loitsun vaurio kasvaa 1n8 viidennellä tasolla (2n8), tasolla 11 (3n8) ja tasolla 17 (4n8)."
Sähköshokki,Taikakonsti, luominen,1 toiminto,kosketus,"taikasana, ele",välitön,"Kätesi salamoivat iskien sähköiskun olentoon, jota yrität koskettaa. Tee lähitaisteluhyökkäys kohteeseen. Saat edun hyökkäykseesi, jos kohteella on yllään metallinen haarniska. Osuessasi kohde kärsii 1n8 salamavahinkoa. Tämän lisäksi hän ei saa tehtyä reaktioita ennen seuraavan vuoronsa alkua. Loitsun vaurio kasvaa 1n8 viidennellä tasolla (2n6), tasolla 11 (3n8) ja tasolla 17 (4n8)."
